model,input,epochs,train_examples,validation_examples,test_examples,validation_accuracy,validation_macro_f1,validation_sarcastic_f1,accuracy,macro_f1,sarcastic_f1
bert-base-uncased cross-encoder,comment_only,1,808616,101077,101078,0.780573226352187,0.7805452125162722,0.7780657427327763,0.7783098201389026,0.7782701499501977,0.775304333874817
bert-base-uncased cross-encoder,context_only,1,808616,101077,101078,0.6172423004244288,0.617003292049487,0.6265709156193896,0.6098755416608955,0.6096918152286002,0.6181599868307657
bert-base-uncased cross-encoder,context_plus_comment,1,808616,101077,101078,0.7914758055739683,0.7914757761013297,0.7913973812092361,0.7883911434733573,0.7883910142101259,0.788225625996297
