method,model,setting,num_examples,valid_predictions,unknown_predictions,accuracy,macro_f1,sarcastic_f1
qwen_few_shot,Qwen/Qwen2.5-0.5B-Instruct,comment_only,200,200,0,0.52,0.37629937629937626,0.07692307692307693
qwen_few_shot,Qwen/Qwen2.5-0.5B-Instruct,context_plus_comment,200,200,0,0.5,0.3333333333333333,0.0
qwen_few_shot,Qwen/Qwen2.5-1.5B-Instruct,comment_only,200,200,0,0.56,0.5596036432789511,0.5463917525773195
qwen_few_shot,Qwen/Qwen2.5-1.5B-Instruct,context_plus_comment,200,200,0,0.53,0.49304282170208175,0.6299212598425197
