model,input,split,n_examples,accuracy,macro_f1,sarcastic_f1
all-MiniLM-L6-v2 + online linear classifier,comment_only,validation,101077,0.6692323674030689,0.6692142521127586,0.6667663387455273
all-MiniLM-L6-v2 + online linear classifier,comment_only,test,101078,0.6673262233126892,0.6672987806356373,0.6642771565495208
all-MiniLM-L6-v2 + online linear classifier,context_only,validation,101077,0.5952491664770423,0.595239261950938,0.5932370223808624
all-MiniLM-L6-v2 + online linear classifier,context_only,test,101078,0.5917113516294347,0.591700669779473,0.5896122751364843
all-MiniLM-L6-v2 + online linear classifier,dual_embeddings,validation,101077,0.6741098370549186,0.6740935290670282,0.6717881269803312
all-MiniLM-L6-v2 + online linear classifier,dual_embeddings,test,101078,0.6719464176180772,0.6719211530318777,0.6690421295325928
